Date,Option_ID,Maturity,Buy,Sell,Ask_Price,Bid_Price,Premium_Cost,Exposure
5/3/2024,QQQ_5/6/2024_445.0,5/6/2024,724.0,0.0,0.02,0.01,1448.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_446.0,5/6/2024,951.0,0.0,0.02,0.0,1902.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_447.0,5/6/2024,1030.0,0.0,0.01,0.0,1030.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_448.0,5/6/2024,927.0,0.0,0.01,0.0,927.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_449.0,5/6/2024,983.0,0.0,0.01,0.0,983.0,10000010.243999975
5/3/2024,QQQ_5/6/2024_451.0,5/6/2024,1624.0,0.0,0.01,0.0,1624.0,10000010.243999975
5/7/2024,QQQ_5/8/2024_450.0,5/8/2024,4533.0,0.0,0.01,0.0,4533.0,10000596.695999948
5/8/2024,QQQ_5/9/2024_450.0,5/9/2024,5494.0,0.0,0.01,0.0,5494.0,10000366.09400004
5/9/2024,QQQ_5/10/2024_451.0,5/10/2024,3913.0,0.0,0.01,0.0,3913.0,10000509.705999952
5/6/2024,QQQ_5/7/2024_451.0,5/7/2024,6354.0,0.0,0.01,0.0,6354.0,10000387.62000004
