Date,Symbol,Strategy,Strike,Contracts Bought,Cost,Exposure Achieved,Meets Exposure Requirement
4/26/2024,ALL,ATMStrategy,,,385410.0,4947435.539999998,False
4/29/2024,SPY,ATM,511.0,1619.0,155424.0,2325175.4200000027,
4/29/2024,IWM,ATM,200.0,3.0,198.0,2147.5680000000066,
4/29/2024,QQQ,ATM,433.0,921.0,185120.99999999997,1611082.2749999948,
4/29/2024,ALL,ATMStrategy,,,340743.0,3938405.2629999975,False
4/30/2024,SPY,ATM,502.0,592.0,139120.0,890332.48,
4/30/2024,IWM,ATM,196.0,3.0,393.0,2085.7200000000034,
4/30/2024,QQQ,ATM,425.0,921.0,232092.0,1565533.2989999969,
4/30/2024,ALL,ATMStrategy,,,371605.0,2457951.498999997,False
5/1/2024,SPY,ATM,501.0,1106.0,202398.0,1588271.3000000003,
5/1/2024,IWM,ATM,197.0,3.0,306.0,1913.148000000001,
5/1/2024,QQQ,ATM,422.0,921.0,206304.00000000003,1547493.6719999956,
5/1/2024,ALL,ATMStrategy,,,409008.0,3137678.119999996,False
5/10/2024,SPY,ATM,521.0,2574.0,236808.0,3980742.4800000247,
5/10/2024,IWM,ATM,205.0,2145.0,87945.0,1429676.820000003,
5/10/2024,QQQ,ATM,443.0,156.0,12480.0,268077.5759999991,
5/10/2024,ALL,ATMStrategy,,,337233.0,5678496.876000027,False
5/2/2024,SPY,ATM,506.0,1619.0,320562.0,2295887.709999992,
5/2/2024,IWM,ATM,200.0,3.0,416.99999999999994,2135.136,
5/2/2024,QQQ,ATM,427.0,920.0,244720.0,1601066.7999999938,
5/2/2024,ALL,ATMStrategy,,,565699.0,3899089.6459999857,False
5/3/2024,SPY,ATM,512.0,2259.0,298188.0,3304623.3299999954,
5/3/2024,IWM,ATM,202.0,2138.0,194558.0,1532603.9200000041,
5/3/2024,QQQ,ATM,436.0,156.0,25740.0,270421.00799999986,
5/3/2024,ALL,ATMStrategy,,,518486.0,5107648.257999999,False
5/6/2024,SPY,ATM,517.0,1106.0,88480.0,1666421.2600000105,
5/6/2024,IWM,ATM,205.0,3.0,129.0,2061.707999999996,
5/6/2024,QQQ,ATM,441.0,922.0,80214.0,1595083.0499999952,
5/6/2024,ALL,ATMStrategy,,,168823.0,3263566.0180000057,False
5/7/2024,SPY,ATM,518.0,1619.0,132758.0,2372514.979999991,
5/7/2024,IWM,ATM,205.0,3.0,180.0,2204.6759999999977,
5/7/2024,QQQ,ATM,441.0,922.0,107874.0,1601801.6639999973,
5/7/2024,ALL,ATMStrategy,,,240812.0,3976521.319999988,False
5/8/2024,SPY,ATM,518.0,1619.0,116568.0,2380852.830000015,
5/8/2024,IWM,ATM,204.0,3.0,180.0,2134.8240000000033,
5/8/2024,QQQ,ATM,441.0,922.0,70072.0,1576846.8119999955,
5/8/2024,ALL,ATMStrategy,,,186820.0,3959834.4660000103,False
5/9/2024,SPY,ATM,521.0,1619.0,135996.0,2392088.689999992,
5/9/2024,IWM,ATM,206.0,3.0,219.0,2181.288000000009,
5/9/2024,QQQ,ATM,442.0,922.0,95888.0,1576787.8039999977,
5/9/2024,ALL,ATMStrategy,,,232103.0,3971057.78199999,False
