Date,Option_ID,Symbol,Maturity,Buy,Ask_Price,Bid_Price,Premium_Cost
4/24/2024,SPY_4/25/2024_517.0,SPY,4/25/2024,12416.0,0.01,0.0,12416.0
4/25/2024,SPY_4/26/2024_515.0,SPY,4/26/2024,12416.0,0.08,0.07,99328.0
4/25/2024,SPY_4/26/2024_516.0,SPY,4/26/2024,11319.0,0.05,0.04,56595.0
4/25/2024,SPY_4/26/2024_517.0,SPY,4/26/2024,14241.0,0.03,0.02,42723.0
4/25/2024,IWM_4/26/2024_202.0,IWM,4/26/2024,2115.0,0.04,0.03,8460.0
4/25/2024,QQQ_4/26/2024_440.0,QQQ,4/26/2024,2.0,0.05,0.03,10.0
4/26/2024,SPY_4/29/2024_516.0,SPY,4/29/2024,2167.0,0.02,0.01,4334.0
4/26/2024,SPY_4/29/2024_517.0,SPY,4/29/2024,2298.0,0.01,0.0,2298.0
4/26/2024,SPY_4/29/2024_518.0,SPY,4/29/2024,2429.0,0.01,0.0,2429.0
4/26/2024,SPY_4/29/2024_519.0,SPY,4/29/2024,6241.0,0.01,0.0,6241.0
4/26/2024,SPY_4/29/2024_520.0,SPY,4/29/2024,7773.0,0.01,0.0,7773.0
4/29/2024,SPY_4/30/2024_518.0,SPY,4/30/2024,5576.0,0.02,0.01,11152.0
4/29/2024,SPY_4/30/2024_521.0,SPY,4/30/2024,13513.0,0.01,0.0,13513.0
4/29/2024,QQQ_4/30/2024_447.0,QQQ,4/30/2024,3.0,0.01,0.0,3.0
4/30/2024,QQQ_5/1/2024_436.0,QQQ,5/1/2024,9370.0,0.09,0.01,84330.0
4/30/2024,QQQ_5/1/2024_438.0,QQQ,5/1/2024,9456.0,0.05,0.02,47280.0
4/30/2024,QQQ_5/1/2024_440.0,QQQ,5/1/2024,2998.0,0.03,0.02,8994.0
5/1/2024,SPY_5/2/2024_512.0,SPY,5/2/2024,12412.0,0.02,0.01,24824.0
5/1/2024,QQQ_5/2/2024_434.0,QQQ,5/2/2024,4651.0,0.03,0.02,13953.0
5/1/2024,QQQ_5/2/2024_435.0,QQQ,5/2/2024,9456.0,0.02,0.01,18912.0
5/2/2024,SPY_5/3/2024_517.5,SPY,5/3/2024,11319.0,0.02,0.01,22638.0
5/2/2024,QQQ_5/3/2024_440.0,QQQ,5/3/2024,7145.0,0.04,0.03,28580.0
5/2/2024,QQQ_5/3/2024_441.0,QQQ,5/3/2024,7882.0,0.03,0.02,23646.0
5/2/2024,QQQ_5/3/2024_442.0,QQQ,5/3/2024,4734.0,0.02,0.01,9468.0
5/3/2024,SPY_5/6/2024_518.0,SPY,5/6/2024,1801.0,0.03,0.02,5403.0
5/3/2024,SPY_5/6/2024_519.0,SPY,5/6/2024,2167.0,0.02,0.01,4334.0
5/3/2024,SPY_5/6/2024_520.0,SPY,5/6/2024,2298.0,0.02,0.01,4596.0
5/3/2024,SPY_5/7/2024_522.0,SPY,5/7/2024,1246.0,0.02,0.01,2492.0
5/3/2024,QQQ_5/6/2024_443.0,QQQ,5/6/2024,569.0,0.04,0.03,2276.0
5/3/2024,QQQ_5/6/2024_444.0,QQQ,5/6/2024,497.0,0.02,0.01,994.0
5/3/2024,QQQ_5/6/2024_445.0,QQQ,5/6/2024,724.0,0.02,0.01,1448.0
5/3/2024,QQQ_5/6/2024_446.0,QQQ,5/6/2024,951.0,0.02,0.0,1902.0
5/3/2024,QQQ_5/6/2024_447.0,QQQ,5/6/2024,1030.0,0.01,0.0,1030.0
5/3/2024,QQQ_5/6/2024_448.0,QQQ,5/6/2024,927.0,0.01,0.0,927.0
5/3/2024,QQQ_5/6/2024_449.0,QQQ,5/6/2024,983.0,0.01,0.0,983.0
5/3/2024,QQQ_5/6/2024_450.0,QQQ,5/6/2024,1163.0,0.01,0.0,1163.0
5/3/2024,QQQ_5/6/2024_451.0,QQQ,5/6/2024,1624.0,0.01,0.0,1624.0
5/6/2024,SPY_5/7/2024_525.0,SPY,5/7/2024,5812.0,0.01,0.0,5812.0
5/6/2024,QQQ_5/7/2024_451.0,QQQ,5/7/2024,6354.0,0.01,0.0,6354.0
5/7/2024,SPY_5/8/2024_524.0,SPY,5/8/2024,7170.0,0.01,0.0,7170.0
5/7/2024,QQQ_5/8/2024_450.0,QQQ,5/8/2024,4533.0,0.01,0.0,4533.0
5/8/2024,SPY_5/9/2024_525.0,SPY,5/9/2024,7201.0,0.01,0.0,7201.0
5/8/2024,QQQ_5/9/2024_450.0,QQQ,5/9/2024,5494.0,0.01,0.0,5494.0
5/9/2024,SPY_5/10/2024_527.5,SPY,5/10/2024,8254.0,0.01,0.0,8254.0
5/9/2024,QQQ_5/10/2024_451.0,QQQ,5/10/2024,3913.0,0.01,0.0,3913.0
