Date,Option_ID,Symbol,Maturity,Buy,Sell,Ask_Price,Bid_Price,Premium_Cost,Exposure
4/29/2024,SPY_4/30/2024_522.0,SPY,4/30/2024,6023.0,0.0,0.01,0.0,6023.0,10000140.489478163
4/22/2024,SPY_4/23/2024_508.0,SPY,4/23/2024,7143.0,0.0,0.03,0.02,21429.0,10000068.459868781
5/1/2024,SPY_5/2/2024_510.0,SPY,5/2/2024,3002.0,0.0,0.05,0.04,15010.0,10000059.46933487
5/1/2024,SPY_5/2/2024_511.0,SPY,5/2/2024,13513.0,0.0,0.03,0.02,40539.0,10000059.46933487
5/1/2024,SPY_5/2/2024_512.0,SPY,5/2/2024,12416.0,0.0,0.02,0.01,24832.0,10000059.46933487
5/1/2024,SPY_5/2/2024_513.0,SPY,5/2/2024,1.0,0.0,0.02,0.01,2.0,10000059.46933487
5/3/2024,SPY_5/6/2024_520.0,SPY,5/6/2024,2298.0,0.0,0.02,0.01,4596.0,10000001.518646328
5/3/2024,SPY_5/6/2024_518.0,SPY,5/6/2024,222.0,0.0,0.03,0.02,666.0,10000001.518646328
5/3/2024,SPY_5/6/2024_519.0,SPY,5/6/2024,2167.0,0.0,0.02,0.01,4334.0,10000001.518646328
5/7/2024,SPY_5/8/2024_524.0,SPY,5/8/2024,7151.0,0.0,0.01,0.0,7151.0,10001324.906497486
5/9/2024,SPY_5/10/2024_527.5,SPY,5/10/2024,8254.0,0.0,0.01,0.0,8254.0,10000026.82493958
5/9/2024,SPY_5/10/2024_528.0,SPY,5/10/2024,9338.0,0.0,0.01,0.0,9338.0,10000026.82493958
5/9/2024,SPY_5/10/2024_529.0,SPY,5/10/2024,687.0,0.0,0.01,0.0,687.0,10000026.82493958
4/23/2024,IWM_4/24/2024_203.0,IWM,4/24/2024,2190.0,0.0,0.02,0.01,4380.0,10000063.797400529
4/25/2024,IWM_4/26/2024_202.5,IWM,4/26/2024,5862.0,0.0,0.03,0.02,17586.0,10000156.7789291
4/25/2024,IWM_4/26/2024_203.0,IWM,4/26/2024,5350.0,0.0,0.03,0.02,16050.0,10000156.7789291
4/25/2024,IWM_4/26/2024_204.0,IWM,4/26/2024,5511.0,0.0,0.02,0.01,11022.0,10000156.7789291
4/25/2024,IWM_4/26/2024_206.0,IWM,4/26/2024,10568.0,0.0,0.01,0.0,10568.0,10000156.7789291
4/26/2024,IWM_4/29/2024_200.0,IWM,4/29/2024,157.0,0.0,0.29,0.27,4553.0,10000015.48431993
4/26/2024,IWM_4/29/2024_201.0,IWM,4/29/2024,592.0,0.0,0.12,0.1,7104.0,10000015.48431993
4/26/2024,IWM_4/29/2024_202.0,IWM,4/29/2024,1323.0,0.0,0.04,0.03,5292.0,10000015.48431993
4/26/2024,IWM_4/29/2024_203.0,IWM,4/29/2024,1949.0,0.0,0.02,0.01,3898.0,10000015.48431993
4/26/2024,IWM_4/29/2024_204.0,IWM,4/29/2024,3374.0,0.0,0.01,0.0,3374.0,10000015.48431993
4/26/2024,IWM_4/29/2024_205.0,IWM,4/29/2024,6683.0,0.0,0.01,0.0,6683.0,10000015.48431993
4/26/2024,IWM_4/29/2024_206.0,IWM,4/29/2024,8726.0,0.0,0.01,0.0,8726.0,10000015.48431993
4/26/2024,IWM_4/29/2024_207.0,IWM,4/29/2024,3691.0,0.0,0.01,0.0,3691.0,10000015.48431993
4/11/2024,QQQ_4/12/2024_459.0,QQQ,4/12/2024,4703.0,0.0,0.02,0.01,9406.0,10000009.969268028
4/18/2024,QQQ_4/19/2024_434.78,QQQ,4/19/2024,1842.0,0.0,0.05,0.04,9210.0,10000000.048371386
4/18/2024,QQQ_4/19/2024_436.0,QQQ,4/19/2024,12605.0,0.0,0.04,0.03,50420.0,10000000.048371386
4/18/2024,QQQ_4/19/2024_438.0,QQQ,4/19/2024,2.0,0.0,0.03,0.02,6.0,10000000.048371386
4/19/2024,QQQ_4/22/2024_431.0,QQQ,4/22/2024,2467.0,0.0,0.04,0.03,9868.0,10000032.387220161
4/19/2024,QQQ_4/22/2024_432.0,QQQ,4/22/2024,204.0,0.0,0.04,0.03,816.0,10000032.387220161
4/19/2024,QQQ_4/22/2024_433.0,QQQ,4/22/2024,3810.0,0.0,0.03,0.02,11430.0,10000032.387220161
4/19/2024,QQQ_4/22/2024_434.0,QQQ,4/22/2024,4245.0,0.0,0.03,0.02,12735.0,10000032.387220161
4/26/2024,QQQ_4/29/2024_437.0,QQQ,4/29/2024,611.0,0.0,0.14,0.13,8554.0,10000015.48431993
4/26/2024,QQQ_4/29/2024_438.0,QQQ,4/29/2024,593.0,0.0,0.09,0.08,5337.0,10000015.48431993
4/26/2024,QQQ_4/29/2024_439.0,QQQ,4/29/2024,521.0,0.0,0.05,0.04,2605.0,10000015.48431993
4/19/2024,QQQ_4/22/2024_429.0,QQQ,4/22/2024,1343.0,0.0,0.05,0.04,6715.0,10000032.387220161
4/30/2024,QQQ_5/1/2024_438.0,QQQ,5/1/2024,9456.0,0.0,0.05,0.02,47280.0,10000006.987681132
4/30/2024,QQQ_5/1/2024_439.0,QQQ,5/1/2024,5185.0,0.0,0.05,0.01,25925.0,10000006.987681132
4/30/2024,QQQ_5/1/2024_440.0,QQQ,5/1/2024,5271.0,0.0,0.03,0.02,15813.0,10000006.987681132
4/30/2024,QQQ_5/1/2024_441.0,QQQ,5/1/2024,6883.0,0.0,0.02,0.0,13766.0,10000006.987681132
5/2/2024,QQQ_5/3/2024_442.0,QQQ,5/3/2024,4733.0,0.0,0.02,0.01,9466.0,10000291.104149006
5/2/2024,QQQ_5/3/2024_442.5,QQQ,5/3/2024,816.0,0.0,0.02,0.01,1632.0,10000291.104149006
5/2/2024,QQQ_5/3/2024_446.0,QQQ,5/3/2024,9570.0,0.0,0.01,0.0,9570.0,10000291.104149006
5/2/2024,QQQ_5/3/2024_447.0,QQQ,5/3/2024,4.0,0.0,0.01,0.0,4.0,10000291.104149006
5/3/2024,QQQ_5/6/2024_450.0,QQQ,5/6/2024,1163.0,0.0,0.01,0.0,1163.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_444.0,QQQ,5/6/2024,497.0,0.0,0.02,0.01,994.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_445.0,QQQ,5/6/2024,724.0,0.0,0.02,0.01,1448.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_446.0,QQQ,5/6/2024,951.0,0.0,0.02,0.0,1902.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_447.0,QQQ,5/6/2024,1030.0,0.0,0.01,0.0,1030.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_448.0,QQQ,5/6/2024,927.0,0.0,0.01,0.0,927.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_449.0,QQQ,5/6/2024,983.0,0.0,0.01,0.0,983.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_451.0,QQQ,5/6/2024,1624.0,0.0,0.01,0.0,1624.0,10000001.518646328
5/3/2024,QQQ_5/6/2024_452.0,QQQ,5/6/2024,91.0,0.0,0.01,0.0,91.0,10000001.518646328
5/8/2024,QQQ_5/9/2024_450.0,QQQ,5/9/2024,5494.0,0.0,0.01,0.0,5494.0,10000317.015493147
5/6/2024,QQQ_5/7/2024_451.0,QQQ,5/7/2024,6354.0,0.0,0.01,0.0,6354.0,10001016.285485722
5/6/2024,QQQ_5/7/2024_452.0,QQQ,5/7/2024,2704.0,0.0,0.01,0.0,2704.0,10001016.285485722
5/8/2024,QQQ_5/9/2024_451.0,QQQ,5/9/2024,1485.0,0.0,0.01,0.0,1485.0,10000317.015493147
